biennials,bi-en-ni-als
mortifies,mor-ti-fies
embarkations,em-bar-ka-tions
intrauterine,in-tra--u-ter-ine
shootingranges,shoot-ing--rang-es
selfstarters,self--start-ers
underdone,un-der-done
torpors,tor-pors
triviality,triv-i-al-i-ty
rwandans,rwan-dans
fri,fri
onomatopoeia,on-o-mat-o-poe-ia
defrays,de-frays
frs,frs
sterilizes,ster-il-iz-es
destructible,de-struct-i-ble
chugged,chugged
ultrasonic,ul-tra-son-ic
harumscarums,har-um--scar-ums
toning,ton-ing
instating,in-stat-ing
showeriest,show-er-i-est
spiv,spiv
alpenstock,al-pen-stock
bizonal,bi-zon-al
thoughtreader,thought--read-er
casuistries,cas-u-ist-ries
misconstrues,mis-con-strues
preempting,pre--empt-ing
eclectics,ec-lec-tics
sanitaria,san-i-tar-i-a
crupper,crup-per
microbiological,mi-cro-bi-o-log-i-cal
appositely,ap-po-site-ly
rescinds,re-scinds
crabbedness,crab-bed-ness
reediness,reed-i-ness
moraines,mo-raines
canoeing,ca-noe-ing
taxicabs,tax-i-cabs
vertexes,ver-tex-es
verger,verg-er
embargos,em-bar-gos
victualling,vict-ual-ling
inventively,in-ven-tive-ly
whimsicalities,whim-si-cal-i-ties
democracies,de-moc-ra-cies
dts,dts
worthlessly,worth-less-ly
brines,brines
visitations,vis-i-ta-tions
provincials,pro-vin-cials
mangelwurzels,man-gel--wur-zels
supped,supped
flipflops,flip--flops
chauvinistic,chau-vin-is-tic
marcher,march-er
fieldtesting,field--test-ing
refit,re-fit
cutanddry,cut--and--dry
tangibility,tan-gi-bil-i-ty
incriminated,in-crim-i-nat-ed
torpedoed,tor-pe-doed
featherweight,feath-er-weight
holystones,ho-ly-stones
furlough,fur-lough
peremptory,per-emp-to-ry
noblewoman,no-ble-wom-an
trucklebeds,truck-le--beds
redeployments,re-de-ploy-ments
crosscuts,cross-cuts
goofing,goof-ing
holystoned,ho-ly-stoned
benignity,be-nig-ni-ty
facileness,fac-ile-ness
sundrenched,sun-drenched
haberdashery,hab-er-dash-er-y
punily,pu-ni-ly
indicts,in-dicts
haberdashers,hab-er-dash-ers
lovefeasts,love--feasts
homogeneity,ho-mo-ge-ne-i-ty
antirrhinum,an-tir-rhi-num
brandish,bran-dish
golfclubs,golf--clubs
duffer,duf-fer
aquaplane,aq-ua-plane
servomechanism,ser-vo-mech-an-ism
espouses,es-pous-es
insubordination,in-sub-or-di-na-tion
watercolour,wa-ter-col-our
competitively,com-pet-i-tive-ly
stagparties,stag--par-ties
noshers,nosh-ers
solfas,sol--fas
insectpowder,in-sect--pow-der
preciously,pre-cious-ly
nefariousness,ne-far-i-ous-ness
unequivocally,un-e-quiv-o-cal-ly
gobetween,go--be-tween
indecently,in-de-cent-ly
riskiness,risk-i-ness
masonic,ma-son-ic
excisemen,ex-cise-men
studiousness,stu-di-ous-ness
gangplank,gang-plank
festivities,fes-tiv-i-ties
gads,gads
broadlooms,broad-looms
plained,plained
chlorinating,chlo-rin-at-ing
worldshaking,world-shak-ing
weddingring,wed-ding--ring
discordantly,dis-cord-ant-ly
maneaters,man--eat-ers
fluorescing,flu-o-resc-ing
deflection,de-flec-tion
defeatists,de-feat-ists
baseborn,base--born
prospectuses,pro-spec-tus-es
emphases,em-pha-ses
attorned,at-torned
wardances,war--danc-es
nearsightedness,near-sight-ed-ness
ratatattat,rat--a--tat--tat
faultfinder,fault-find-er
gallivants,gal-li-vants
rondeaux,ron-deaux
binder,bind-er
brigades,bri-gades
starring,star-ring
encoring,en-cor-ing
inquiet,in-qui-et
drinkingfountain,drink-ing--foun-tain
stoker,stok-er
bencher,bench-er
hexing,hex-ing
recessionals,re-ces-sion-als
cheeriest,cheer-i-est
bicentennial,bi-cen-ten-ni-al
stoked,stoked
lemmings,lem-mings
semaphoring,sem-a-phor-ing
infraction,in-frac-tion
ropedancer,rope-danc-er
administer,ad-min-is-ter
inapplicability,in-ap-pli-ca-bil-i-ty
gasholder,gas-hold-er
marshals,mar-shals
hallucinogenic,hal-lu-ci-no-gen-ic
doublebass,dou-ble--bass
weirdie,weird-ie
roneoed,ro-ne-oed
mortgagors,mort-ga-gors
ensiles,en-siles
appealingly,ap-peal-ing-ly
handmaidens,hand-maid-ens
lurgies,lur-gies
metabolic,met-a-bol-ic
ensiled,en-siled
tintinnabulation,tin-tin-nab-u-la-tion
medallists,med-al-lists
wreckers,wreck-ers
maundy,maund-y
subtend,sub-tend
denoting,de-not-ing
thesaurus,the-sau-rus
dowser,dows-er
dowses,dows-es
distastes,dis-tastes
dowsed,dowsed
percolators,per-co-la-tors
arrays,ar-rays
readthrough,read--through
rewords,re-words
boneshaker,bone-shak-er
lightsomeness,light-some-ness
snugs,snugs
treadling,tread-ling
stouthearted,stout-heart-ed
inchief,in--chief
stepins,step--ins
harbourages,har-bour-ag-es
discountenance,dis-coun-te-nance
nicking,nick-ing
extenuated,ex-ten-u-at-ed
megahertz,meg-a-hertz
oilpalms,oil--palms
hungermarch,hun-ger--march
extenuates,ex-ten-u-ates
moderns,mod-erns
railhead,rail-head
signification,sig-ni-fi-ca-tion
slagheaps,slag-heaps
ridingschools,rid-ing--schools
effusions,ef-fu-sions
crossexaminers,cross--ex-am-in-ers
chaingangs,chain--gangs
aphasic,a-pha-sic
watchkey,watch--key
underfed,un-der-fed
arquebus,ar-que-bus
oxygenates,ox-y-gen-ates
circumcise,cir-cum-cise
oboists,o-bo-ists
emended,e-mend-ed
cackles,cack-les
variably,var-i-a-bly
thoroughgoing,thor-ough-go-ing
hawked,hawked
palmy,palm-y
longueur,lon-gueur
foxhunt,fox-hunt
ornateness,or-nate-ness
transporter,trans-port-er
hawker,hawk-er
camisoles,cam-i-soles
approvingly,ap-prov-ing-ly
meteorologist,me-te-or-ol-o-gist
windsocks,wind-socks
fuzzily,fuzz-i-ly
loppings,lop-pings
illtreating,ill--treat-ing
loquats,loq-uats
erred,erred
pullulating,pul-lu-lat-ing
disassociate,dis-as-so-ci-ate
mugginess,mug-gi-ness
dustups,dust-ups
dissimulations,dis-sim-u-la-tions
puttered,put-tered
ingroup,in--group
overmantels,o-ver-man-tels
putterer,put-ter-er
nonproliferation,non-pro-lif-er-a-tion
irrecoverable,ir-re-cov-er-a-ble
amplification,am-pli-fi-ca-tion
grapples,grap-ples
timbered,tim-bered
precognition,pre-cog-ni-tion
freelance,free-lance
photocopiers,pho-to-cop-i-ers
silencers,si-lenc-ers
thankofferings,thank--of-fer-ings
parimutuel,par-i--mu-tu-el
crated,crat-ed
flagstaffs,flag-staffs
laundryman,laun-dry-man
flattops,flat-tops
prances,pranc-es
mullions,mul-lions
crackdowns,crack-downs
southpaw,south-paw
shenanigan,she-nan-i-gan
deranging,de-rang-ing
kittiwake,kit-ti-wake
reining,rein-ing
prizemoney,prize--mon-ey
masturbates,mas-tur-bates
illustrators,il-lus-tra-tors
defaults,de-faults
masturbated,mas-tur-bat-ed
jumbling,jum-bling
isobars,i-so-bars
batsmen,bats-men
honesttogoodness,hon-est--to--good-ness
horselaughs,horse-laughs
specked,specked
calculuses,cal-cu-lus-es
ogles,o-gles
smashandgrab,smash--and--grab
obstreperousness,ob-strep-er-ous-ness
ogled,o-gled
longhops,long-hops
shirty,shirt-y
kindliness,kind-li-ness
headset,head-set
gaminghouse,gam-ing--house
lavishness,lav-ish-ness
abridgments,a-bridg-ments
clannishly,clan-nish-ly
draftee,draft-ee
bottlefuls,bot-tle-fuls
topicality,top-i-cal-i-ty
poetesses,po-et-ess-es
launderer,laun-der-er
idyllically,i-dyl-li-cal-ly
pointduty,point--du-ty
boleros,bo-le-ros
studbooks,stud--books
chillers,chil-lers
buggerall,bug-ger--all
enwraps,en-wraps
banqueted,ban-quet-ed
siring,sir-ing
irregulars,ir-reg-u-lars
pollyanna,pol-ly-an-na
concatenations,con-cat-e-na-tions
vituperation,vi-tu-per-a-tion
jerkiness,jerk-i-ness
nonstarters,non-start-ers
houseman,house-man
moseying,mo-sey-ing
dumdum,dum-dum
inquisitively,in-quis-i-tive-ly
fakers,fak-ers
loungechairs,lounge--chairs
abase,a-base
gingkoes,ging-koes
opposes,op-pos-es
lumme,lum-me
pooped,pooped
iceskates,ice--skates
flyswatters,fly-swat-ters
cockfighting,cock-fight-ing
previewed,pre-viewed
liberalizing,lib-er-al-iz-ing
perisher,per-ish-er
perishes,per-ish-es
conciliating,con-cil-i-at-ing
eatinghouses,eat-ing--hous-es
assimilation,as-sim-i-la-tion
approving,ap-prov-ing
cookouts,cook-outs
varnishing,var-nish-ing
avaunt,a-vaunt
entrepot,en-tre-pot
wingers,wing-ers
cheeps,cheeps
oscillator,os-cil-la-tor
polejumping,pole--jump-ing
widestawake,wid-est--a-wake
sprats,sprats
washhouses,wash-hous-es
orrisroot,or-ris-root
footslogged,foot-slogged
studfarms,stud--farms
outhouses,out-hous-es
footslogger,foot-slogg-er
pastorales,pas-to-rales
enchainment,en-chain-ment
finnan,fin-nan
litre,li-tre
metalanguages,met-a-lan-guag-es
purveying,pur-vey-ing
nightclothes,night-clothes
dazing,daz-ing
uxoriousness,ux-o-ri-ous-ness
kowtows,kow-tows
teaspoonsful,tea-spoons-ful
meddler,med-dler
meddles,med-dles
casualness,cas-u-al-ness
minelaying,mine-lay-ing
paleontologists,pa-le-on-tol-o-gists
doziest,doz-i-est
convincingly,con-vinc-ing-ly
meddled,med-dled
phlegmatical,phleg-mat-i-cal
mobbing,mob-bing
egotistical,e-go-tis-ti-cal
heliotrope,he-li-o-trope
extemporizations,ex-tem-po-ri-za-tions
fourply,four--ply
deeperlaid,deep-er--laid
pullet,pul-let
halfsize,half--size
rabbitburrows,rab-bit--bur-rows
subdivisions,sub-di-vi-sions
sandboy,sand-boy
gremlins,grem-lins
bottlefeeding,bot-tle--feed-ing
thundery,thun-der-y
blowup,blow--up
stablecompanions,sta-ble--com-pan-ions
cartilages,car-ti-lag-es
scandalmongering,scan-dal-mon-ger-ing
quarrelled,quar-relled
lessees,les-sees
sanatoriums,san-a-to-ri-ums
overlord,o-ver-lord
infirmities,in-fir-mi-ties
cinchona,cin-cho-na
teabreak,tea--break
medallist,med-al-list
ichneumons,ich-neu-mons
revulsion,re-vul-sion
spotlighting,spot-light-ing
mudded,mud-ded
ridingmasters,rid-ing--mas-ters
secularizer,sec-u-lar-iz-er
secularizes,sec-u-lar-iz-es
ancestresses,an-ces-tress-es
courageously,cou-ra-geous-ly
secularized,sec-u-lar-ized
rosebeds,rose--beds
workmanlike,work-man-like
maladministration,mal-ad-min-is-tra-tion
waterproofs,wa-ter-proofs
unfruitful,un-fruit-ful
frontage,front-age
pitchandtoss,pitch--and--toss
bellfounder,bell--found-er
cleancut,clean--cut
scratchiness,scratch-i-ness
pouched,pouched
battleships,bat-tle-ships
instability,in-sta-bil-i-ty
personalizing,per-son-al-iz-ing
reprehending,rep-re-hend-ing
hoppole,hop--pole
tightlipped,tight--lipped
materializes,ma-te-ri-al-iz-es
quarrymen,quar-ry-men
honduras,hon-du-ras
irremediably,ir-re-me-di-a-bly
shortlisting,short--list-ing
receipt,re-ceipt
stonepit,stone--pit
unlikelihood,un-like-li-hood
irremediable,ir-re-me-di-a-ble
prudently,pru-dent-ly
honduran,hon-du-ran
aidesdecamp,aides--de--camp
presaged,pres-aged
workdays,work-days
assessors,as-ses-sors
internee,in-tern-ee
jubilations,ju-bi-la-tions
sprightliest,spright-li-est
firelighter,fire-light-er
foulspoken,foul--spo-ken
hygienically,hy-gi-en-i-cal-ly
obeisances,o-bei-sanc-es
complicates,com-pli-cates
disintegrated,dis-in-te-grat-ed
matteroffact,mat-ter--of--fact
disintegrates,dis-in-te-grates
snooker,snook-er
lucrative,lu-cra-tive
despondent,de-spond-ent
pilferage,pil-fer-age
overexertion,o-ver--ex-er-tion
thatching,thatch-ing
socking,sock-ing
loyaller,loy-al-ler
bandboxes,band-box-es
roundhand,round--hand
parkinson,par-kin-son
cottoncake,cot-ton--cake
digressed,di-gressed
periodical,pe-ri-od-i-cal
colourbars,col-our--bars
velds,velds
hangnails,hang-nails
exaggerations,ex-ag-ger-a-tions
goodhumoured,good--hu-moured
postilions,pos-til-ions
stifles,sti-fles
granulating,gran-u-lat-ing
oversimplifies,o-ver-sim-pli-fies
quangos,quan-gos
longwindedness,long-wind-ed-ness
snuffers,snuff-ers
featherbrained,feath-er-brained
shawn,shawn
plugugly,plug--ug-ly
retrogressive,ret-ro-gres-sive
waterbiscuits,wa-ter--bis-cuits
estaminets,es-tam-i-nets
sweetbriar,sweet-bri-ar
flywhisks,fly-whisks
laciest,lac-i-est
tradeunion,trade--un-ion
judiciousness,ju-di-cious-ness
decarbonizing,de-car-bon-iz-ing
digresses,di-gress-es
scantling,scant-ling
ascendancy,as-cend-an-cy
shakeup,shake--up
nigglers,nig-glers
aurorae,au-ro-rae
balsas,bal-sas
burundi,bu-run-di
minesweepers,mine-sweep-ers
poofter,poof-ter
diplomatist,di-plo-ma-tist
washbasin,wash-ba-sin
dilutions,di-lu-tions
ventholes,vent--holes
pierrots,pier-rots
demobs,de-mobs
ejectorseat,e-jec-tor--seat
eventempered,e-ven--tem-pered
creditably,cred-it-a-bly
offload,off--load
bloodlessness,blood-less-ness
arquebuses,ar-que-bus-es
cricking,crick-ing
elevenses,e-lev-ens-es
backlogs,back-logs
creditable,cred-it-a-ble
foxterriers,fox--ter-ri-ers
centralizations,cen-tral-i-za-tions
touchy,touch-y
cardiographs,car-di-o-graphs
synchromesh,syn-chro-mesh
togas,to-gas
romper,romp-er
messier,mess-i-er
dryshod,dry--shod
driereyed,dri-er--eyed
whirlybird,whirl-y-bird
outranking,out-rank-ing
redirected,re-di-rect-ed
phiz,phiz
birthplaces,birth-plac-es
chiseller,chis-el-ler
scarpers,scarp-ers
bambinos,bam-bi-nos
counterpoints,coun-ter-points
inconsistent,in-con-sist-ent
soviets,so-vi-ets
signets,sig-nets
pilotfish,pi-lot--fish
ensembles,en-sem-bles
boxoffices,box--of-fic-es
marchionesses,mar-chion-ess-es
betrothal,be-troth-al
earaches,ear-aches
chinwag,chin-wag
tungoil,tung--oil
arbours,ar-bours
patricide,pat-ri-cide
tonguetwisters,tongue--twist-ers
bigheads,big-heads
continentals,con-ti-nen-tals
mechanization,mech-a-ni-za-tion
chairwomen,chair-wom-en
ashkey,ash--key
revolutionizes,rev-o-lu-tion-iz-es
perspicacity,per-spi-cac-i-ty
trappist,trap-pist
disarraying,dis-ar-ray-ing
obsolesce,ob-so-lesce
rallentando,ral-len-tan-do
wormhole,worm-hole
recoiling,re-coil-ing
dissoluble,dis-sol-u-ble
tortilla,tor-til-la
airdromes,air-dromes
attenuated,at-ten-u-at-ed
dampest,damp-est
salients,sa-li-ents
audaciously,au-da-cious-ly
rollicked,rol-licked
pokerwork,pok-er-work
airlifts,air-lifts
betelnuts,be-tel--nuts
recapped,re-capped
defensively,de-fen-sive-ly
humorists,hu-mor-ists
interpellate,in-ter-pel-late
safetybelt,safe-ty--belt
vended,vend-ed
vendee,vend-ee
sponsorship,spon-sor-ship
vaccines,vac-cines
nightdresses,night-dress-es
kinglier,king-li-er
bibliophile,bib-li-o-phile
exploration,ex-plo-ra-tion
touchlines,touch-lines
moony,moon-y
distrain,dis-train
playboxes,play--box-es
bastinadoed,bas-ti-na-doed
palimpsest,pal-imp-sest
microfiches,mi-cro-fich-es
bastinadoes,bas-ti-na-does
punts,punts
awards,a-wards
distrait,dis-trait
dirttrack,dirt--track
pilotlight,pi-lot--light
longwearing,long-wear-ing
recitations,rec-i-ta-tions
forecastles,fore-cas-tles
flipper,flip-per
roominess,room-i-ness
pullup,pull--up
daygirls,day-girls
glutinous,glu-ti-nous
radicalizes,rad-i-cal-iz-es
sleepingdraught,sleep-ing--draught
auditors,au-di-tors
linotypes,li-no-types
dossers,dos-sers
confraternities,con-fra-ter-ni-ties
radicalized,rad-i-cal-ized
practises,prac-tis-es
collides,col-lides
mpg,mpg
bribable,brib-a-ble
deuteronomy,deu-ter-on-o-my
gamingtable,gam-ing--ta-ble
incubation,in-cu-ba-tion
anticipations,an-tic-i-pa-tions
typecasts,type-casts
spyglass,spy-glass
syllabify,syl-lab-i-fy
sophisms,soph-isms
combatted,com-bat-ted
transmogrify,trans-mog-ri-fy
dirndls,dirndls
cantatas,can-ta-tas
wilco,wil-co
milkpowder,milk--pow-der
climatical,cli-mat-i-cal
miladies,mi-la-dies
defeatist,de-feat-ist
squeezer,squeez-er
spruceness,spruce-ness
defeatism,de-feat-ism
crossbenches,cross-bench-es
crossbencher,cross-bench-er
eightpence,eight-pence
pittances,pit-tanc-es
graphed,graphed
parboiled,par-boiled
squidgier,squid-gi-er
mutineers,mu-ti-neers
freelist,free--list
reviler,re-vil-er
lodginghouse,lodg-ing--house
eruditely,er-u-dite-ly
verified,ver-i-fied
knowitall,know--it--all
theorized,the-o-rized
gelding,geld-ing
verifies,ver-i-fies
carferries,car--fer-ries
invalidly,in-val-id-ly
excrescent,ex-cres-cent
aitch,aitch
photogravure,pho-to-gra-vure
pockmarks,pock-marks
theorizes,the-o-riz-es
droopingly,droop-ing-ly
managements,man-age-ments
frontages,front-ag-es
prorogued,pro-rogued
hideaway,hide--a-way
pennorths,pen-norths
deflate,de-flate
tramcar,tram-car
deerstalking,deer--stalk-ing
amuck,a-muck
brasses,brass-es
agronomist,a-gron-o-mist
gawkiest,gawk-i-est
befittingly,be-fit-ting-ly
cliquier,cli-qui-er
liberians,li-be-ri-ans
peculiarities,pe-cu-li-ar-i-ties
coteries,co-te-ries
mistrals,mis-trals
blethered,bleth-ered
constructional,con-struc-tion-al
recycles,re-cy-cles
pulverizes,pul-ver-iz-es
litterateur,lit-ter-a-teur
visaed,vi-saed
judiciously,ju-di-cious-ly
enclaves,en-claves
underexposures,un-der-ex-po-sures
fungicides,fun-gi-cides
overconfident,o-ver--con-fi-dent
procreating,pro-cre-at-ing
carpetbag,car-pet-bag
